riogrande	1240876800	1249084800	3
riogrande	1249084800	1253491200	0
riogrande	1253491200	1262908800	3
riogrande	1262908800	1298678400	0
riogrande	1298678400	1300665600	2
riogrande	1300665600	1309651200	0
riogrande	1309651200	1326931200	0
riogrande	1326931200	1346630400	3
riogrande	1346630400	1352678400	1
riogrande	1352678400	1370044800	0
riogrande	1370044800	1384128000	2
riogrande	1384128000	1397865600	0
riogrande	1397865600	1415923200	2
riogrande	1415923200	1479513600	3
riogrande	1479513600	1484006400	1
riogrande	1484006400	1485820800	3
riogrande	1485820800	9999999999	1
portoseguro	1341446400	1371945600	3
portoseguro	1371945600	1372204800	2
portoseguro	1372204800	1372636800	0
portoseguro	1372636800	1417651200	0
portoseguro	1417651200	1431734400	2
portoseguro	1431734400	1435708800	1
portoseguro	1435708800	1455321600	0
portoseguro	1455321600	1468800000	2
portoseguro	1468800000	1473638400	0
portoseguro	1473638400	9999999999	2
cabofrio2	1468972800	1491782400	3
cabofrio2	1491782400	1506902400	2
cabofrio2	1506902400	1537228800	0
cabofrio2	1537228800	9999999999	3
santos	1302480000	1313366400	3
santos	1313366400	1367366400	2
santos	1367366400	1370822400	3
santos	1370822400	1371081600	1
santos	1371081600	1379462400	3
santos	1379462400	1388620800	2
santos	1388620800	1399334400	2
santos	1399334400	1402444800	0
santos	1402444800	1412640000	2
santos	1412640000	1416096000	0
santos	1416096000	1466035200	2
santos	1466035200	1491609600	3
santos	1491609600	1496880000	0
santos	1496880000	1499731200	0
santos	1499731200	1502668800	1
santos	1502668800	1510272000	0
santos	1510272000	1529366400	1
santos	1529366400	1533600000	0
santos	1533600000	1539820800	3
itajai	1240876800	1260403200	3
itajai	1260403200	1297814400	0
itajai	1297814400	1327449600	3
itajai	1327449600	1349308800	4
itajai	1349308800	1359590400	0
itajai	1359590400	1380153600	3
itajai	1380153600	1415923200	0
itajai	1415923200	1446163200	2
itajai	1446163200	1460160000	0
itajai	1460160000	1469145600	3
itajai	1469145600	1485993600	2
itajai	1485993600	1523750400	2
itajai	1523750400	1525046400	1
itajai	1525046400	9999999999	2
fortaleza	1222722101	9999999999	3
recife	1222722101	9999999999	3
cabofrio	1222722101	9999999999	3
vitoria	1222722101	9999999999	3
niteroi2	0	9999999999	1
niteroi	0	9999999999	3
minuano	0	9999999999	3
cabofrio	0	9999999999	1
itaguai	0	9999999999	1
itaoca	0	9999999999	1
